               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11547,            0.021036,            0.099097,                   0,                   0,                   0,                   0,             0.10902,            0.016791,            0.096526,           0.0032804,           0.0032804,            0.070476
                   1,             0.10985,            0.021661,            0.096932,              0.1532,           0.0054348,          0.00083118,          0.00020409,             0.10855,            0.016494,            0.096968,           0.0065919,           0.0065919,            0.040454
                   2,             0.10732,            0.022324,            0.095625,            0.028258,            0.012326,           0.0039269,          0.00078227,             0.11234,             0.01527,              0.1275,           0.0098814,           0.0098814,            0.010411
                   3,             0.10657,            0.022196,              0.0945,          0.00020658,           0.0057204,          0.00011547,          3.0102e-05,             0.10881,            0.015547,             0.10317,            0.009901,            0.009901,            0.009901
                   4,             0.10452,            0.022051,            0.093027,            0.001781,            0.012261,           0.0010415,          0.00045024,             0.10183,            0.016566,            0.091123,            0.009901,            0.009901,            0.009901
                   5,              0.1007,            0.022262,             0.09024,            0.045902,            0.055064,           0.0019101,          0.00054316,            0.099854,            0.016381,            0.089311,            0.009868,            0.009868,            0.009868
                   6,              0.0971,            0.024537,             0.08781,             0.52942,            0.035477,           0.0058922,           0.0021257,            0.093789,            0.017183,             0.08514,            0.009835,            0.009835,            0.009835
                   7,            0.091849,            0.024214,             0.08525,             0.24768,            0.086981,           0.0056173,           0.0015746,            0.092223,            0.017817,            0.083061,            0.009802,            0.009802,            0.009802
                   8,            0.091262,            0.023913,            0.084298,             0.74997,            0.024403,            0.011626,           0.0038368,            0.089957,            0.016952,            0.082652,            0.009769,            0.009769,            0.009769
                   9,            0.088371,            0.023994,            0.083262,             0.48535,            0.055427,           0.0064474,           0.0021477,            0.088965,            0.016477,            0.081612,            0.009736,            0.009736,            0.009736
                  10,               0.087,            0.024072,            0.082072,             0.73154,            0.027128,            0.011369,           0.0057813,            0.088205,            0.015842,            0.080897,            0.009703,            0.009703,            0.009703
                  11,            0.085247,             0.02287,            0.081082,             0.53226,            0.059053,            0.009642,           0.0029639,            0.088673,            0.016344,            0.080058,             0.00967,             0.00967,             0.00967
                  12,            0.084195,            0.023168,            0.081327,             0.61818,            0.037018,           0.0087292,           0.0031637,            0.084654,            0.016142,            0.079439,            0.009637,            0.009637,            0.009637
                  13,            0.082182,            0.022828,            0.080589,             0.64302,            0.036729,            0.011618,           0.0046417,            0.087596,            0.015726,            0.078293,            0.009604,            0.009604,            0.009604
                  14,            0.081616,            0.023056,            0.080684,               0.429,             0.10369,            0.012585,           0.0060457,            0.082915,            0.015543,            0.078537,            0.009571,            0.009571,            0.009571
                  15,            0.080435,            0.022852,            0.079927,              0.5433,            0.072793,            0.014808,           0.0059571,            0.082972,            0.015681,            0.078332,            0.009538,            0.009538,            0.009538
                  16,            0.080376,            0.023661,            0.079667,             0.15816,             0.21004,            0.036738,            0.022124,            0.082898,            0.015058,            0.077865,            0.009505,            0.009505,            0.009505
                  17,            0.078646,            0.023065,             0.08008,             0.58091,            0.056643,            0.016869,           0.0070825,            0.080815,            0.015954,            0.077728,            0.009472,            0.009472,            0.009472
                  18,            0.077569,            0.023884,            0.079071,             0.53669,            0.072897,            0.015653,           0.0080453,            0.078801,            0.015835,            0.077384,            0.009439,            0.009439,            0.009439
                  19,            0.077313,            0.022663,             0.07923,             0.28225,             0.17244,            0.025393,           0.0085487,            0.081037,            0.015427,            0.077123,            0.009406,            0.009406,            0.009406
                  20,            0.076149,            0.022694,            0.078867,              0.7192,            0.040868,            0.017105,           0.0088347,             0.07726,            0.016004,            0.077288,            0.009373,            0.009373,            0.009373
                  21,            0.075502,            0.023238,            0.079189,             0.55881,            0.067782,            0.016982,            0.008662,            0.078791,            0.015489,            0.077113,             0.00934,             0.00934,             0.00934
                  22,            0.076554,            0.021776,            0.077745,             0.62491,            0.052791,            0.018883,            0.010481,            0.077306,            0.015647,            0.076988,            0.009307,            0.009307,            0.009307
                  23,            0.075313,            0.022194,            0.077802,             0.47799,             0.10561,            0.018099,           0.0088302,            0.075868,            0.016046,            0.076875,            0.009274,            0.009274,            0.009274
                  24,            0.074231,            0.023779,            0.078357,             0.48307,            0.088044,            0.024651,            0.012757,            0.074623,            0.015249,            0.076434,            0.009241,            0.009241,            0.009241
                  25,            0.074726,            0.024706,            0.077343,             0.56227,            0.063896,            0.021994,            0.012661,            0.073614,            0.015666,            0.076594,            0.009208,            0.009208,            0.009208
                  26,              0.0728,            0.022513,            0.077333,             0.62551,            0.061086,            0.020161,            0.012112,            0.074632,            0.015703,            0.076363,            0.009175,            0.009175,            0.009175
                  27,            0.071927,            0.023909,            0.078007,             0.68356,            0.048933,            0.023657,            0.011078,            0.073812,            0.016129,            0.076421,            0.009142,            0.009142,            0.009142
                  28,            0.072352,            0.022293,            0.077259,             0.58545,            0.069176,            0.025346,            0.013115,            0.072065,            0.015259,            0.076059,            0.009109,            0.009109,            0.009109
                  29,            0.071392,            0.022725,            0.077754,             0.44942,             0.11073,            0.023858,            0.012709,             0.07395,            0.015489,            0.076133,            0.009076,            0.009076,            0.009076
                  30,            0.070214,            0.021674,            0.077705,              0.4491,            0.084451,            0.016544,           0.0086048,            0.075249,            0.015768,              0.0758,            0.009043,            0.009043,            0.009043
                  31,            0.069158,            0.022581,             0.07736,             0.58407,            0.066492,            0.018788,            0.010731,             0.07176,            0.015397,            0.076045,             0.00901,             0.00901,             0.00901
                  32,             0.07007,            0.023789,            0.076995,             0.49394,            0.099004,            0.023088,            0.012244,            0.070828,            0.015219,            0.076322,            0.008977,            0.008977,            0.008977
                  33,            0.070149,            0.021361,            0.076892,             0.34657,             0.15528,            0.019171,           0.0099249,            0.076253,             0.01531,            0.075933,            0.008944,            0.008944,            0.008944
                  34,            0.068474,            0.021858,            0.076334,             0.59057,            0.072966,            0.024754,            0.012914,              0.0702,            0.015401,            0.075671,            0.008911,            0.008911,            0.008911
                  35,            0.067672,            0.022076,            0.076387,               0.386,             0.13854,            0.022883,            0.012206,            0.070471,            0.015846,            0.075699,            0.008878,            0.008878,            0.008878
                  36,            0.067482,            0.021367,            0.076581,             0.43754,             0.10507,            0.030069,            0.014303,            0.070742,            0.015384,            0.075417,            0.008845,            0.008845,            0.008845
