               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11623,            0.022016,            0.099018,                   0,                   0,                   0,                   0,             0.11131,            0.016768,            0.096701,           0.0032704,           0.0032704,            0.070566
                   1,             0.11042,            0.023637,            0.097122,             0.27482,          0.00058687,          0.00021253,          4.8897e-05,             0.10969,            0.016653,              0.0962,            0.006582,            0.006582,            0.040544
                   2,             0.10861,             0.02264,            0.095928,                   0,                   0,                   0,                   0,             0.10866,            0.016524,            0.095471,           0.0098715,           0.0098715,              0.0105
                   3,             0.10662,             0.02375,            0.094875,                   0,                   0,                   0,                   0,             0.10821,            0.016191,            0.094828,            0.009901,            0.009901,            0.009901
                   4,             0.10397,            0.023321,            0.093208,            0.001718,            0.090732,           0.0022768,          0.00037826,             0.10324,            0.017235,            0.090898,            0.009901,            0.009901,            0.009901
                   5,             0.10035,            0.023598,            0.090212,             0.71086,            0.016363,           0.0023844,          0.00065727,            0.099543,            0.016715,            0.088542,            0.009868,            0.009868,            0.009868
                   6,             0.09627,            0.023711,            0.087784,              0.6294,            0.036943,           0.0033847,          0.00093296,            0.098665,            0.019357,            0.088214,            0.009835,            0.009835,            0.009835
                   7,            0.093309,            0.025157,            0.085797,             0.52543,            0.038551,           0.0075739,           0.0032113,            0.092408,            0.018842,             0.08492,            0.009802,            0.009802,            0.009802
                   8,            0.091095,            0.024801,            0.085795,              0.5281,            0.063246,           0.0074697,           0.0032337,             0.09178,            0.018739,             0.08354,            0.009769,            0.009769,            0.009769
                   9,            0.089724,            0.025598,            0.083943,             0.48593,            0.073255,           0.0082718,           0.0037743,            0.092688,            0.019128,             0.08449,            0.009736,            0.009736,            0.009736
                  10,              0.0883,            0.025263,            0.083607,             0.57197,             0.04194,           0.0082183,           0.0030361,            0.089851,            0.015945,            0.082547,            0.009703,            0.009703,            0.009703
                  11,            0.087692,            0.024866,             0.08235,             0.71281,            0.022573,           0.0084873,           0.0030038,            0.091476,            0.016421,            0.082454,             0.00967,             0.00967,             0.00967
                  12,            0.085266,            0.023841,            0.082249,              0.4897,            0.063944,            0.021535,             0.01123,             0.08819,             0.01597,            0.082101,            0.009637,            0.009637,            0.009637
                  13,            0.084273,            0.023983,            0.082119,             0.66021,            0.031168,           0.0065387,             0.00266,            0.086313,            0.017835,            0.081474,            0.009604,            0.009604,            0.009604
                  14,            0.082832,            0.024565,            0.081096,             0.53215,            0.039101,           0.0076856,            0.002956,            0.088373,            0.015638,            0.082991,            0.009571,            0.009571,            0.009571
                  15,             0.08045,            0.023344,            0.081865,             0.47174,            0.074233,            0.011232,           0.0054141,            0.084764,            0.015675,            0.080231,            0.009538,            0.009538,            0.009538
                  16,            0.082204,            0.024489,            0.081091,               0.479,            0.064293,            0.011747,            0.005598,            0.081931,            0.016351,             0.08013,            0.009505,            0.009505,            0.009505
                  17,            0.078972,            0.023359,            0.079895,             0.49275,            0.054812,           0.0098959,           0.0037084,            0.082875,            0.016364,            0.080309,            0.009472,            0.009472,            0.009472
                  18,            0.079026,            0.023777,            0.079527,              0.5117,            0.078919,            0.013945,           0.0062651,             0.08019,            0.016213,            0.079517,            0.009439,            0.009439,            0.009439
                  19,            0.078732,            0.024377,            0.078885,             0.55988,             0.04811,            0.012119,           0.0062482,            0.081123,            0.016008,            0.079362,            0.009406,            0.009406,            0.009406
                  20,             0.07774,            0.025012,            0.079507,             0.51382,            0.078258,            0.018714,           0.0095739,            0.076965,            0.015679,            0.079112,            0.009373,            0.009373,            0.009373
                  21,            0.074821,            0.023491,            0.079507,            0.042396,             0.24887,            0.024878,             0.01424,            0.081029,            0.015207,            0.079242,             0.00934,             0.00934,             0.00934
                  22,            0.076231,            0.023892,             0.07924,             0.47261,              0.1079,            0.020712,           0.0096638,            0.078002,            0.015367,            0.078772,            0.009307,            0.009307,            0.009307
                  23,            0.074391,            0.022908,             0.07808,             0.53304,            0.083621,            0.013949,           0.0067595,            0.079098,            0.017148,            0.078716,            0.009274,            0.009274,            0.009274
                  24,            0.075091,            0.023174,              0.0787,              0.5152,            0.065808,            0.016457,           0.0082075,             0.07799,            0.015799,             0.07876,            0.009241,            0.009241,            0.009241
                  25,            0.074651,            0.024131,            0.078589,             0.47217,              0.0878,            0.016622,           0.0086462,            0.076072,            0.015628,            0.078627,            0.009208,            0.009208,            0.009208
                  26,            0.074258,            0.023273,            0.077578,             0.50974,            0.091994,            0.014401,           0.0073882,            0.077944,            0.015952,            0.078416,            0.009175,            0.009175,            0.009175
                  27,            0.073193,            0.023405,            0.077562,             0.60445,            0.053991,            0.016075,           0.0076666,            0.075093,            0.015893,            0.078227,            0.009142,            0.009142,            0.009142
                  28,            0.073778,            0.023267,             0.07814,             0.49167,             0.10671,             0.01761,           0.0085659,            0.079166,            0.015648,            0.078646,            0.009109,            0.009109,            0.009109
                  29,            0.072344,            0.023798,            0.077994,             0.49299,            0.095114,             0.01863,           0.0091505,            0.074415,            0.015832,            0.078148,            0.009076,            0.009076,            0.009076
                  30,            0.071232,            0.023524,             0.07763,              0.4586,             0.12286,            0.020727,            0.010538,            0.074558,            0.015504,            0.078095,            0.009043,            0.009043,            0.009043
                  31,            0.071366,            0.022859,            0.077551,             0.51546,             0.08188,            0.018259,           0.0080578,            0.073848,            0.015766,            0.078526,             0.00901,             0.00901,             0.00901
                  32,            0.071713,            0.023264,            0.077763,             0.51733,             0.10655,            0.019273,            0.010309,            0.072001,            0.015478,            0.077942,            0.008977,            0.008977,            0.008977
                  33,            0.069991,            0.024092,            0.077407,              0.5773,            0.062684,            0.018918,           0.0096854,            0.071616,            0.015578,            0.078202,            0.008944,            0.008944,            0.008944
                  34,            0.069481,            0.023015,            0.076081,             0.47273,             0.11444,            0.018686,            0.009512,             0.07201,            0.015379,            0.077779,            0.008911,            0.008911,            0.008911
                  35,            0.070021,            0.022778,            0.076376,              0.4769,            0.086162,            0.023143,            0.012743,             0.07609,            0.015502,            0.078095,            0.008878,            0.008878,            0.008878
                  36,            0.069209,            0.023262,            0.076239,              0.5065,             0.08138,            0.022251,             0.01207,            0.071039,            0.015169,            0.077633,            0.008845,            0.008845,            0.008845
                  37,            0.068289,            0.022684,            0.076107,             0.50179,             0.10007,            0.019936,            0.010877,             0.07306,            0.016305,            0.077488,            0.008812,            0.008812,            0.008812
                  38,            0.068321,            0.022408,            0.076544,              0.5194,             0.07726,            0.019905,            0.011265,            0.071198,             0.01554,            0.077531,            0.008779,            0.008779,            0.008779
                  39,            0.067396,            0.022126,            0.076433,             0.61934,            0.050612,            0.020957,             0.01105,             0.07387,             0.01564,            0.077587,            0.008746,            0.008746,            0.008746
                  40,            0.069107,            0.022159,            0.076196,              0.6164,             0.05672,            0.024418,            0.012179,            0.070221,             0.01507,            0.077271,            0.008713,            0.008713,            0.008713
                  41,            0.066268,            0.021951,            0.076061,             0.55888,            0.057769,            0.019135,            0.010412,            0.073272,            0.015199,            0.077201,             0.00868,             0.00868,             0.00868
                  42,            0.066721,            0.023187,            0.075342,             0.49669,              0.1079,            0.024075,            0.012381,             0.06995,            0.014951,            0.077052,            0.008647,            0.008647,            0.008647
                  43,            0.066806,            0.022452,            0.075652,             0.37359,              0.1546,            0.044194,            0.015151,            0.070314,            0.015299,            0.077322,            0.008614,            0.008614,            0.008614
                  44,            0.067468,            0.024004,            0.076198,             0.66412,            0.066398,            0.023412,            0.013215,            0.070481,            0.015235,            0.077395,            0.008581,            0.008581,            0.008581
                  45,            0.066599,            0.022489,            0.075582,             0.48599,            0.095271,            0.025158,             0.01264,            0.071951,            0.015545,            0.077475,            0.008548,            0.008548,            0.008548
                  46,            0.067109,            0.023023,            0.074625,             0.62343,            0.071847,            0.027903,            0.014669,            0.069201,            0.014858,            0.076872,            0.008515,            0.008515,            0.008515
                  47,            0.065309,            0.022384,             0.07437,             0.43795,             0.10758,            0.020648,            0.011741,            0.070792,            0.015004,             0.07698,            0.008482,            0.008482,            0.008482
                  48,            0.065945,            0.023535,            0.075104,             0.46001,            0.089722,             0.02417,            0.012563,             0.07123,            0.015097,            0.076996,            0.008449,            0.008449,            0.008449
                  49,            0.067759,             0.02307,             0.07525,             0.43625,             0.11785,            0.026561,            0.015304,            0.068113,            0.014956,            0.076689,            0.008416,            0.008416,            0.008416
                  50,            0.066103,            0.021525,            0.075329,             0.50105,            0.087386,            0.031139,            0.017447,            0.068918,            0.015099,            0.076847,            0.008383,            0.008383,            0.008383
                  51,            0.064119,            0.021976,            0.075542,             0.39184,             0.14257,            0.025601,            0.014882,            0.069457,            0.014994,            0.076877,             0.00835,             0.00835,             0.00835
                  52,            0.064873,            0.022651,            0.073905,             0.44531,            0.092208,            0.028271,            0.015236,            0.069023,            0.014797,            0.077182,            0.008317,            0.008317,            0.008317
                  53,            0.064809,            0.022614,            0.074366,             0.45881,             0.11065,            0.024976,            0.014234,            0.070165,            0.015674,             0.07718,            0.008284,            0.008284,            0.008284
                  54,            0.064963,            0.023166,            0.074548,             0.51827,            0.084853,            0.027579,            0.015454,            0.068901,            0.014779,            0.076493,            0.008251,            0.008251,            0.008251
                  55,            0.065189,            0.021891,            0.073672,             0.41996,             0.10864,             0.02435,            0.012954,            0.067694,            0.015182,            0.076548,            0.008218,            0.008218,            0.008218
                  56,            0.064616,            0.023114,            0.072828,             0.39359,             0.13658,            0.026942,            0.013671,            0.069103,             0.01559,             0.07666,            0.008185,            0.008185,            0.008185
                  57,            0.063237,            0.021658,            0.073636,              0.5717,            0.053533,            0.027975,            0.014588,            0.067377,            0.014793,            0.076495,            0.008152,            0.008152,            0.008152
                  58,             0.06209,            0.021421,            0.072427,             0.34408,             0.13646,            0.032967,            0.016078,             0.06803,             0.01545,            0.076601,            0.008119,            0.008119,            0.008119
                  59,            0.063485,            0.022452,            0.073096,             0.42742,             0.11534,            0.033644,            0.013179,            0.068114,            0.015144,            0.076906,            0.008086,            0.008086,            0.008086
                  60,            0.063877,            0.023388,            0.073001,             0.41512,             0.10153,            0.025392,            0.010988,            0.067236,            0.015417,            0.076822,            0.008053,            0.008053,            0.008053
                  61,            0.062426,            0.022157,            0.073484,             0.43982,            0.078906,            0.024894,            0.013106,            0.067386,            0.014791,            0.076652,             0.00802,             0.00802,             0.00802
                  62,            0.060757,            0.021601,            0.073092,             0.63591,            0.054549,            0.027485,            0.014632,            0.066089,            0.015012,            0.076376,            0.007987,            0.007987,            0.007987
                  63,            0.061456,            0.021007,            0.072575,             0.53577,             0.10809,            0.040274,            0.017418,            0.066504,            0.015107,            0.076389,            0.007954,            0.007954,            0.007954
                  64,            0.062433,            0.021819,            0.071979,             0.52764,            0.075098,            0.025981,            0.014891,            0.070346,            0.015392,            0.076476,            0.007921,            0.007921,            0.007921
                  65,            0.060484,            0.021618,            0.072841,             0.55243,            0.061866,            0.030281,             0.01684,            0.067277,            0.014836,            0.075672,            0.007888,            0.007888,            0.007888
                  66,            0.061385,            0.020912,             0.07166,             0.63842,            0.047596,            0.031465,            0.016231,            0.066917,            0.014868,            0.075605,            0.007855,            0.007855,            0.007855
                  67,            0.062115,            0.020934,            0.072026,             0.31532,             0.16115,            0.031248,            0.015807,            0.066892,            0.014672,            0.076286,            0.007822,            0.007822,            0.007822
                  68,            0.061931,            0.022235,            0.071306,             0.29511,             0.20874,             0.03616,            0.018158,            0.067069,            0.014732,            0.075865,            0.007789,            0.007789,            0.007789
                  69,             0.06153,            0.021462,            0.072622,              0.6414,            0.053735,            0.034843,            0.019216,            0.065793,            0.015174,            0.075918,            0.007756,            0.007756,            0.007756
                  70,            0.060688,            0.021274,            0.071176,             0.57301,            0.076881,            0.031603,             0.01679,            0.067179,            0.015312,            0.075922,            0.007723,            0.007723,            0.007723
                  71,            0.060772,             0.02171,            0.071293,             0.41769,             0.12044,            0.029628,            0.014365,            0.067634,            0.015303,            0.076193,             0.00769,             0.00769,             0.00769
                  72,            0.061023,            0.021676,            0.070826,             0.44008,             0.11692,            0.031832,            0.016623,            0.066887,            0.014883,            0.075594,            0.007657,            0.007657,            0.007657
                  73,            0.060623,             0.02225,            0.070625,             0.46494,            0.088879,            0.029349,            0.015681,            0.066877,            0.015136,             0.07531,            0.007624,            0.007624,            0.007624
                  74,            0.060783,            0.021615,            0.070226,             0.50206,            0.081366,            0.030043,            0.015835,            0.066534,            0.015054,            0.075772,            0.007591,            0.007591,            0.007591
                  75,            0.059808,            0.021172,            0.070796,             0.50535,            0.073399,            0.030324,            0.017389,            0.067022,            0.015062,            0.075367,            0.007558,            0.007558,            0.007558
                  76,            0.059149,            0.020685,            0.070681,             0.38017,             0.13387,            0.034647,            0.019833,            0.065774,            0.014648,            0.075086,            0.007525,            0.007525,            0.007525
                  77,            0.059753,            0.020533,             0.07109,             0.49826,            0.077062,            0.037904,            0.020838,            0.067115,            0.014941,             0.07558,            0.007492,            0.007492,            0.007492
                  78,            0.060478,              0.0211,            0.070506,              0.3434,             0.13092,             0.03999,            0.022258,            0.066234,            0.014627,            0.075479,            0.007459,            0.007459,            0.007459
                  79,             0.05956,            0.021068,            0.070587,             0.59858,            0.073435,            0.041663,            0.021387,            0.066001,            0.015148,            0.075113,            0.007426,            0.007426,            0.007426
                  80,            0.060776,            0.021465,             0.07009,               0.531,            0.070574,            0.029474,            0.014389,            0.066752,            0.016537,            0.075459,            0.007393,            0.007393,            0.007393
                  81,             0.05925,            0.021322,            0.070375,             0.51253,            0.081804,            0.039836,            0.021602,            0.066473,            0.014895,            0.075397,             0.00736,             0.00736,             0.00736
                  82,            0.060247,            0.020853,            0.070143,              0.4671,             0.08337,            0.035537,            0.019967,            0.067078,            0.015017,            0.075809,            0.007327,            0.007327,            0.007327
                  83,            0.058904,            0.021603,            0.069497,             0.38322,             0.11345,            0.039069,            0.020766,            0.065167,            0.015004,            0.076063,            0.007294,            0.007294,            0.007294
                  84,            0.058771,            0.020958,            0.068353,             0.36812,             0.11949,             0.04242,            0.021252,            0.065024,            0.014961,            0.075061,            0.007261,            0.007261,            0.007261
                  85,             0.05967,            0.021028,            0.068394,             0.43562,             0.10233,            0.046167,            0.021146,            0.064997,            0.014981,            0.075511,            0.007228,            0.007228,            0.007228
                  86,            0.057513,            0.020689,            0.068898,             0.44446,             0.09469,            0.050069,            0.020252,            0.065941,            0.015294,            0.075122,            0.007195,            0.007195,            0.007195
                  87,            0.057807,             0.02049,            0.069278,             0.46387,             0.11019,            0.046363,             0.02372,            0.065629,            0.015215,             0.07495,            0.007162,            0.007162,            0.007162
                  88,            0.058946,            0.021223,            0.067976,             0.46615,             0.10681,            0.043739,            0.019382,            0.066018,            0.015161,             0.07571,            0.007129,            0.007129,            0.007129
                  89,            0.057208,             0.02059,            0.068121,             0.47871,            0.090439,            0.064709,            0.026579,            0.065794,             0.01495,             0.07505,            0.007096,            0.007096,            0.007096
                  90,            0.058304,            0.021585,            0.066897,             0.62587,            0.065513,            0.052331,            0.022865,             0.06493,            0.014951,            0.074978,            0.007063,            0.007063,            0.007063
                  91,            0.058006,            0.020529,            0.067332,             0.30024,             0.16288,            0.040511,            0.021895,            0.065157,            0.014706,            0.075186,             0.00703,             0.00703,             0.00703
                  92,             0.05764,            0.020782,            0.067409,             0.43537,             0.11015,            0.048454,            0.023414,            0.065166,             0.01532,            0.075096,            0.006997,            0.006997,            0.006997
