               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044167,            0.015314,            0.028926,             0.49218,            0.087922,            0.082465,             0.04689,            0.065768,            0.015584,            0.087342,           0.0032704,           0.0032704,            0.070566
                   1,            0.051229,            0.016048,            0.029274,              0.4686,            0.085122,            0.087454,            0.032033,            0.071293,            0.014979,            0.083397,            0.006582,            0.006582,            0.040544
                   2,            0.058161,            0.015802,            0.033986,             0.38079,            0.076193,            0.051992,            0.020661,            0.075929,            0.015305,            0.083966,           0.0098715,           0.0098715,              0.0105
                   3,            0.058011,            0.017853,            0.040368,             0.38181,            0.084137,            0.054018,            0.020632,            0.070584,            0.016188,            0.084046,            0.009901,            0.009901,            0.009901
                   4,            0.057096,            0.018184,            0.044124,             0.43276,            0.087995,            0.051762,            0.026372,            0.074283,            0.015413,            0.086011,            0.009901,            0.009901,            0.009901
                   5,            0.055826,            0.018971,            0.044607,             0.35204,             0.12104,            0.045116,            0.020176,            0.069408,            0.016164,            0.084425,            0.009868,            0.009868,            0.009868
                   6,            0.056887,             0.01817,            0.046081,             0.14925,             0.14773,            0.036348,            0.016472,            0.072447,            0.016627,            0.085778,            0.009835,            0.009835,            0.009835
                   7,            0.057109,            0.019469,            0.046442,             0.28784,            0.087665,            0.050284,            0.023305,            0.068977,            0.015902,            0.083062,            0.009802,            0.009802,            0.009802
                   8,            0.056422,            0.019084,            0.045543,             0.38408,             0.10059,            0.047376,             0.02262,            0.073093,            0.015566,            0.081498,            0.009769,            0.009769,            0.009769
                   9,            0.056081,            0.019714,            0.043874,             0.32449,            0.084845,            0.046419,            0.022369,            0.068703,            0.016644,            0.085258,            0.009736,            0.009736,            0.009736
                  10,             0.05601,            0.019613,            0.045758,             0.30588,             0.07792,            0.042826,            0.025516,             0.06831,            0.016787,            0.083747,            0.009703,            0.009703,            0.009703
                  11,            0.055685,             0.01901,            0.045153,             0.31874,             0.14064,            0.077597,            0.038634,            0.069991,            0.015091,            0.081938,             0.00967,             0.00967,             0.00967
                  12,            0.055306,            0.018282,            0.044932,             0.38409,            0.086662,            0.064733,            0.030411,            0.069645,            0.015257,            0.081318,            0.009637,            0.009637,            0.009637
                  13,            0.054954,            0.018457,            0.044109,             0.36421,             0.13248,            0.085587,            0.041396,            0.070425,            0.015813,            0.080209,            0.009604,            0.009604,            0.009604
                  14,            0.056232,            0.018701,            0.041444,              0.3162,             0.11154,            0.058909,            0.033789,            0.068829,            0.016228,            0.080631,            0.009571,            0.009571,            0.009571
                  15,            0.053124,            0.017489,            0.041877,             0.46475,            0.086213,            0.052545,            0.027267,            0.067929,             0.01521,            0.082809,            0.009538,            0.009538,            0.009538
                  16,             0.05538,            0.018742,            0.041605,             0.36478,            0.079115,            0.051723,            0.030549,            0.069118,            0.016616,            0.084647,            0.009505,            0.009505,            0.009505
                  17,            0.054009,            0.017815,            0.040776,             0.35553,             0.10778,             0.06933,            0.034804,            0.069116,            0.014957,            0.084357,            0.009472,            0.009472,            0.009472
                  18,            0.054395,            0.017754,            0.039126,             0.34117,             0.10223,             0.07627,             0.03271,             0.06801,            0.015246,            0.082988,            0.009439,            0.009439,            0.009439
                  19,            0.055961,            0.018753,            0.039872,             0.38562,            0.058469,            0.047379,            0.024917,             0.06988,            0.015579,            0.087995,            0.009406,            0.009406,            0.009406
                  20,            0.055045,            0.019148,            0.040683,             0.36718,             0.13431,            0.085244,            0.053259,            0.067053,            0.015942,            0.082348,            0.009373,            0.009373,            0.009373
                  21,            0.052977,            0.017562,            0.038749,             0.37376,             0.13781,            0.066156,            0.040112,            0.068898,            0.015413,            0.083537,             0.00934,             0.00934,             0.00934
                  22,            0.053211,            0.018056,            0.038099,             0.32421,             0.10059,            0.064722,            0.032727,            0.068308,            0.015763,            0.083644,            0.009307,            0.009307,            0.009307
                  23,            0.054184,            0.017143,            0.038198,             0.33598,             0.13697,            0.072362,            0.032695,            0.068588,            0.015267,            0.082371,            0.009274,            0.009274,            0.009274
                  24,            0.053915,            0.017511,               0.038,             0.44096,            0.066565,            0.062756,            0.032798,            0.065979,            0.015298,            0.083263,            0.009241,            0.009241,            0.009241
                  25,            0.054269,            0.018091,            0.037523,             0.36278,             0.13262,            0.080364,            0.045723,             0.06746,            0.015498,            0.082014,            0.009208,            0.009208,            0.009208
                  26,            0.054621,            0.017665,            0.035245,             0.21721,             0.13814,            0.053815,            0.028132,            0.068744,            0.015822,            0.084087,            0.009175,            0.009175,            0.009175
                  27,            0.052826,            0.018056,            0.036582,             0.31036,             0.11819,            0.063529,            0.035312,            0.066792,            0.015372,            0.084469,            0.009142,            0.009142,            0.009142
                  28,            0.054045,            0.017308,            0.036338,             0.38356,             0.14479,            0.093729,            0.053264,            0.066401,            0.015149,            0.083701,            0.009109,            0.009109,            0.009109
                  29,            0.052416,            0.018054,            0.036046,             0.33125,             0.12343,            0.061269,            0.038314,            0.068157,            0.015406,            0.084221,            0.009076,            0.009076,            0.009076
                  30,            0.053338,            0.017757,            0.035174,              0.3605,            0.073752,            0.049465,             0.02465,            0.067688,            0.016247,            0.083054,            0.009043,            0.009043,            0.009043
                  31,            0.052508,            0.017319,            0.036499,             0.40439,            0.070931,            0.058486,            0.033074,            0.067981,            0.015333,            0.082889,             0.00901,             0.00901,             0.00901
                  32,            0.054062,            0.017635,            0.036403,             0.55113,            0.096555,            0.099016,            0.053958,            0.068073,            0.015555,            0.083427,            0.008977,            0.008977,            0.008977
                  33,            0.052687,            0.018295,            0.035912,             0.48822,            0.073592,             0.08094,            0.042662,            0.067214,            0.015806,             0.08385,            0.008944,            0.008944,            0.008944
                  34,            0.053762,            0.017408,             0.03217,             0.38767,             0.08869,            0.063611,            0.033866,            0.067919,             0.01547,            0.085297,            0.008911,            0.008911,            0.008911
                  35,            0.053251,             0.01761,            0.033928,             0.39201,              0.1215,            0.080997,            0.046024,            0.066628,            0.015734,            0.082063,            0.008878,            0.008878,            0.008878
                  36,            0.053125,            0.017636,            0.034013,             0.53107,             0.07532,            0.078025,            0.047039,            0.066158,            0.015501,            0.081908,            0.008845,            0.008845,            0.008845
                  37,            0.051365,            0.016828,            0.033124,             0.35127,            0.097872,            0.073979,            0.046291,            0.067285,            0.015314,            0.085039,            0.008812,            0.008812,            0.008812
                  38,             0.05256,            0.016851,            0.033711,             0.43608,             0.07629,            0.077873,            0.043701,             0.06637,            0.015654,            0.086358,            0.008779,            0.008779,            0.008779
                  39,            0.051525,            0.016771,            0.033516,             0.51984,            0.065052,            0.054312,            0.034177,            0.067039,            0.015862,            0.087005,            0.008746,            0.008746,            0.008746
                  40,            0.052815,            0.016976,            0.033053,             0.58804,            0.094621,             0.10289,             0.04802,            0.067088,            0.015575,            0.085876,            0.008713,            0.008713,            0.008713
                  41,            0.051735,            0.016738,            0.032201,             0.37376,             0.11401,            0.081258,            0.043592,            0.067048,            0.015363,            0.083427,             0.00868,             0.00868,             0.00868
                  42,            0.051181,             0.01757,            0.032546,             0.26399,             0.11606,            0.064359,            0.034388,            0.067003,            0.016036,            0.084206,            0.008647,            0.008647,            0.008647
                  43,              0.0511,            0.016985,             0.03151,             0.49587,             0.04668,             0.04789,            0.028483,            0.067433,            0.016209,            0.086393,            0.008614,            0.008614,            0.008614
                  44,            0.051894,            0.018057,            0.031095,             0.47042,            0.067368,            0.062484,            0.032766,            0.068066,            0.015763,            0.084815,            0.008581,            0.008581,            0.008581
                  45,            0.052679,            0.017078,            0.030919,             0.37502,            0.088673,            0.068473,            0.037722,            0.067392,            0.015581,            0.084483,            0.008548,            0.008548,            0.008548
                  46,            0.052607,            0.017396,            0.030413,             0.33304,             0.11179,            0.065446,            0.035959,             0.06705,            0.015328,            0.085227,            0.008515,            0.008515,            0.008515
                  47,            0.051353,            0.017166,            0.029573,             0.53783,            0.072517,            0.064418,            0.031147,            0.067613,            0.015572,            0.087465,            0.008482,            0.008482,            0.008482
                  48,             0.05164,            0.017877,            0.030181,             0.43796,            0.068163,            0.056366,             0.03271,            0.068091,            0.015462,            0.085134,            0.008449,            0.008449,            0.008449
                  49,            0.053327,            0.017545,             0.03038,             0.32734,              0.1612,             0.07836,            0.048349,            0.065689,            0.016035,            0.084243,            0.008416,            0.008416,            0.008416
                  50,            0.051348,            0.016167,            0.030778,             0.40835,            0.065244,            0.053373,            0.033595,            0.066562,            0.015573,            0.086327,            0.008383,            0.008383,            0.008383
                  51,            0.050934,            0.016735,            0.030125,             0.31691,            0.083782,            0.059321,            0.034825,            0.067038,            0.015847,            0.087566,             0.00835,             0.00835,             0.00835
                  52,             0.05183,            0.016977,            0.029538,             0.44305,            0.091404,            0.079901,            0.036394,            0.066721,            0.015712,            0.084924,            0.008317,            0.008317,            0.008317
                  53,            0.050575,            0.017171,            0.029591,             0.43133,            0.089232,            0.061282,            0.039556,            0.066212,             0.01562,            0.085553,            0.008284,            0.008284,            0.008284
                  54,            0.052043,            0.017472,            0.029059,             0.30961,             0.10219,            0.058547,            0.032467,            0.066553,            0.015587,            0.086264,            0.008251,            0.008251,            0.008251
                  55,            0.051728,            0.016654,            0.028523,             0.27094,             0.13512,            0.063406,            0.038688,            0.066858,            0.015544,            0.087239,            0.008218,            0.008218,            0.008218
                  56,            0.051924,            0.017518,            0.027357,             0.37613,             0.09408,            0.051355,            0.031292,              0.0666,            0.015817,            0.085411,            0.008185,            0.008185,            0.008185
                  57,            0.050885,            0.016455,            0.027857,             0.58878,            0.073644,            0.065195,            0.040331,            0.065925,            0.015434,            0.086301,            0.008152,            0.008152,            0.008152
                  58,            0.049495,            0.016577,            0.028118,             0.44471,            0.096157,            0.082525,            0.044033,            0.066866,            0.015662,            0.085549,            0.008119,            0.008119,            0.008119
                  59,            0.051664,            0.017122,            0.028208,             0.34219,            0.098848,            0.087283,            0.049115,            0.065952,            0.015687,            0.087144,            0.008086,            0.008086,            0.008086
                  60,            0.053101,            0.017933,            0.028232,             0.53218,            0.071944,            0.067295,            0.033736,            0.065141,            0.015315,            0.084725,            0.008053,            0.008053,            0.008053
                  61,            0.049341,            0.016777,            0.028514,             0.42088,            0.089534,            0.067629,             0.03228,            0.066358,            0.015715,            0.086319,             0.00802,             0.00802,             0.00802
                  62,             0.04903,            0.016403,            0.027767,             0.41465,            0.076412,            0.074169,             0.03962,            0.065808,            0.015839,            0.086612,            0.007987,            0.007987,            0.007987
                  63,            0.050194,            0.015892,            0.026219,             0.42778,             0.11733,             0.08521,            0.050562,            0.066721,             0.01569,             0.08473,            0.007954,            0.007954,            0.007954
                  64,             0.05047,            0.016549,            0.025743,             0.51783,            0.098208,            0.090479,            0.053564,            0.065903,            0.015804,            0.085197,            0.007921,            0.007921,            0.007921
                  65,            0.049708,            0.016607,            0.027076,             0.37712,             0.13271,            0.079761,            0.045109,            0.066521,            0.015437,            0.087626,            0.007888,            0.007888,            0.007888
                  66,            0.048786,            0.016001,            0.026714,             0.19192,             0.11029,            0.062917,            0.039549,            0.066104,            0.015832,            0.089366,            0.007855,            0.007855,            0.007855
                  67,             0.05057,            0.015915,            0.026125,             0.35406,             0.10935,            0.071939,            0.044085,            0.066458,            0.015726,             0.08736,            0.007822,            0.007822,            0.007822
                  68,            0.049598,             0.01704,            0.026285,             0.43852,             0.06786,            0.062291,            0.032695,             0.06615,            0.015697,            0.086902,            0.007789,            0.007789,            0.007789
                  69,            0.049171,            0.016213,            0.026488,             0.34069,            0.086202,            0.066804,             0.03837,            0.065397,            0.015587,            0.087052,            0.007756,            0.007756,            0.007756
                  70,            0.050313,            0.016281,            0.025686,             0.29759,              0.1059,            0.065437,            0.035333,            0.066705,            0.015882,            0.083512,            0.007723,            0.007723,            0.007723
                  71,            0.049539,            0.016379,            0.025185,             0.34881,             0.09629,            0.063193,            0.035963,            0.066694,            0.015844,             0.08704,             0.00769,             0.00769,             0.00769
                  72,            0.049758,            0.016492,            0.025868,             0.51634,             0.08109,            0.082566,            0.047638,            0.065524,             0.01558,            0.086744,            0.007657,            0.007657,            0.007657
                  73,            0.049056,            0.016878,            0.024327,              0.3133,             0.14182,             0.07262,            0.044207,             0.06549,            0.015819,            0.086925,            0.007624,            0.007624,            0.007624
                  74,            0.049906,            0.016395,            0.024181,             0.36947,            0.089481,            0.070274,            0.037658,            0.066696,            0.015893,            0.086604,            0.007591,            0.007591,            0.007591
                  75,              0.0479,            0.015985,            0.026074,             0.32493,               0.136,            0.079005,            0.044318,            0.064687,            0.015751,            0.086487,            0.007558,            0.007558,            0.007558
                  76,             0.04814,            0.015683,            0.024685,              0.4334,            0.065193,            0.050687,            0.030655,            0.066633,            0.016055,            0.086816,            0.007525,            0.007525,            0.007525
                  77,            0.048611,            0.016048,             0.02551,             0.27206,             0.10253,            0.082291,            0.045948,            0.065849,            0.015915,            0.086703,            0.007492,            0.007492,            0.007492
                  78,            0.049932,              0.0158,            0.025355,             0.38267,             0.09446,             0.06201,            0.033541,            0.065853,            0.016185,            0.084855,            0.007459,            0.007459,            0.007459
                  79,            0.047897,            0.016133,             0.02486,             0.43859,            0.082479,            0.075039,            0.042228,            0.066495,            0.015876,            0.087311,            0.007426,            0.007426,            0.007426
                  80,            0.049742,             0.01649,            0.023901,             0.46587,            0.094255,            0.088171,            0.054275,            0.065347,            0.015809,            0.084813,            0.007393,            0.007393,            0.007393
                  81,            0.050521,            0.016194,            0.024863,             0.42133,            0.085888,            0.069817,            0.037805,            0.065977,            0.016017,            0.086666,             0.00736,             0.00736,             0.00736
                  82,            0.048478,            0.015812,            0.024095,             0.48261,            0.065439,             0.07512,            0.045252,             0.06599,            0.016203,             0.08787,            0.007327,            0.007327,            0.007327
                  83,             0.04836,            0.016277,            0.023477,             0.36621,            0.084262,            0.062628,            0.038873,            0.066484,            0.016143,            0.087765,            0.007294,            0.007294,            0.007294
                  84,            0.049261,            0.015893,            0.022763,             0.44707,            0.071649,             0.07111,            0.042057,            0.066305,            0.016059,            0.085839,            0.007261,            0.007261,            0.007261
                  85,            0.049716,            0.015884,            0.022803,              0.4577,            0.068527,             0.05388,             0.03103,             0.06613,             0.01578,            0.086755,            0.007228,            0.007228,            0.007228
                  86,            0.048882,            0.015643,            0.021831,              0.1735,             0.13281,            0.063746,            0.035509,            0.065986,            0.015839,              0.0872,            0.007195,            0.007195,            0.007195
                  87,            0.048214,            0.015497,             0.02308,             0.42268,             0.12259,            0.099143,             0.05261,            0.065567,            0.015898,            0.085297,            0.007162,            0.007162,            0.007162
                  88,            0.047432,            0.015882,            0.022002,              0.4435,            0.074488,            0.069429,             0.04192,            0.065486,            0.016001,             0.08593,            0.007129,            0.007129,            0.007129
                  89,            0.047044,            0.015615,            0.022117,             0.34622,            0.070667,            0.060363,            0.035275,            0.064845,            0.016139,            0.088102,            0.007096,            0.007096,            0.007096
                  90,            0.048242,            0.016383,            0.021962,             0.36175,            0.089281,            0.076187,            0.045666,            0.064986,            0.016154,             0.08834,            0.007063,            0.007063,            0.007063
                  91,            0.047807,            0.015555,            0.022097,             0.33009,             0.10322,            0.065035,            0.043455,            0.066012,            0.016211,            0.087803,             0.00703,             0.00703,             0.00703
                  92,            0.047114,            0.015644,             0.02167,             0.33187,             0.10479,            0.071536,            0.043193,            0.065109,            0.016622,            0.088714,            0.006997,            0.006997,            0.006997
                  93,            0.049349,            0.015299,             0.02205,             0.48199,            0.078929,             0.08121,            0.041937,            0.064846,            0.015621,            0.090271,            0.006964,            0.006964,            0.006964
                  94,            0.047856,            0.015716,            0.021321,             0.52109,            0.052296,            0.059722,            0.035817,            0.065995,            0.016085,            0.089231,            0.006931,            0.006931,            0.006931
                  95,            0.047238,            0.015714,            0.021605,             0.33772,             0.12335,            0.078118,            0.047826,             0.06517,            0.016351,            0.087533,            0.006898,            0.006898,            0.006898
                  96,            0.047935,            0.015757,            0.021733,             0.39042,            0.092709,            0.077833,            0.047972,            0.066508,             0.01611,            0.086653,            0.006865,            0.006865,            0.006865
                  97,            0.047269,            0.015816,            0.020749,             0.33905,             0.09992,            0.066728,            0.041458,            0.065666,            0.015584,            0.087797,            0.006832,            0.006832,            0.006832
                  98,            0.046984,            0.016004,            0.022217,             0.38815,            0.073742,            0.063936,            0.039663,            0.066332,            0.015766,             0.08796,            0.006799,            0.006799,            0.006799
                  99,            0.047602,            0.015666,            0.021812,             0.31867,             0.12443,            0.091111,            0.045878,            0.066025,             0.01597,            0.089418,            0.006766,            0.006766,            0.006766
                 100,            0.047267,            0.015024,            0.019992,             0.28372,             0.12066,            0.063402,            0.040333,            0.065218,            0.016349,            0.088053,            0.006733,            0.006733,            0.006733
                 101,            0.047015,            0.014924,            0.019979,              0.1706,             0.12906,            0.068408,            0.040779,            0.065165,            0.015973,            0.090162,              0.0067,              0.0067,              0.0067
                 102,            0.048241,              0.0152,            0.019485,             0.26276,             0.11366,            0.068618,             0.04328,            0.065192,            0.015607,            0.088992,            0.006667,            0.006667,            0.006667
                 103,            0.045955,            0.015436,            0.020464,             0.48726,            0.080014,            0.064041,            0.040537,            0.064967,             0.01613,            0.088842,            0.006634,            0.006634,            0.006634
                 104,            0.047392,            0.014932,             0.02043,             0.30592,            0.072431,            0.064397,            0.038601,            0.065187,            0.016107,            0.089032,            0.006601,            0.006601,            0.006601
                 105,            0.046962,            0.015375,            0.019493,             0.15219,             0.16471,            0.058738,            0.033811,            0.066885,            0.016025,             0.08971,            0.006568,            0.006568,            0.006568
                 106,            0.047017,            0.015681,            0.019956,               0.269,             0.12265,            0.065005,            0.036774,            0.065633,            0.016417,            0.089846,            0.006535,            0.006535,            0.006535
                 107,             0.04597,            0.015381,            0.018692,             0.38175,            0.062667,            0.053497,            0.034285,            0.065692,            0.016285,            0.089262,            0.006502,            0.006502,            0.006502
                 108,            0.045392,             0.01483,            0.019465,             0.27648,             0.12321,            0.059503,            0.033329,            0.065442,            0.016049,            0.088621,            0.006469,            0.006469,            0.006469
                 109,            0.047685,            0.015227,            0.019607,             0.48088,            0.083351,            0.067137,            0.040901,            0.065849,            0.016162,            0.087886,            0.006436,            0.006436,            0.006436
                 110,            0.046667,            0.014419,            0.020833,             0.31163,            0.093221,            0.063333,            0.037809,            0.065313,            0.016135,            0.088384,            0.006403,            0.006403,            0.006403
                 111,            0.047033,            0.015966,            0.019028,             0.19555,             0.13611,            0.056951,            0.033304,            0.065759,            0.016265,            0.092425,             0.00637,             0.00637,             0.00637
                 112,            0.047861,            0.015991,            0.019321,             0.25878,             0.13814,            0.071476,            0.043921,            0.064829,            0.016197,            0.088354,            0.006337,            0.006337,            0.006337
                 113,            0.046206,            0.015451,            0.018727,              0.3605,            0.094181,            0.061316,            0.038572,            0.065319,            0.016568,            0.088633,            0.006304,            0.006304,            0.006304
                 114,            0.044891,            0.014896,            0.018164,             0.35287,            0.099222,            0.069515,            0.044406,            0.064412,            0.016253,            0.088533,            0.006271,            0.006271,            0.006271
                 115,            0.046616,            0.014998,             0.01959,             0.33056,             0.11005,             0.06695,             0.04149,            0.065443,            0.016579,            0.088814,            0.006238,            0.006238,            0.006238
                 116,            0.046922,            0.015188,            0.018951,             0.31251,             0.15534,            0.083209,            0.048248,            0.064533,            0.016142,            0.087975,            0.006205,            0.006205,            0.006205
                 117,            0.046638,            0.014562,            0.019361,             0.36869,            0.079717,            0.060887,            0.037488,            0.065589,            0.016177,             0.09044,            0.006172,            0.006172,            0.006172
                 118,            0.048308,            0.015387,            0.017225,             0.40685,             0.10217,            0.068208,            0.041079,            0.064826,            0.016222,            0.089063,            0.006139,            0.006139,            0.006139
                 119,            0.046406,             0.01467,            0.018231,             0.50457,            0.090526,            0.068718,            0.043554,             0.06443,            0.016197,            0.088461,            0.006106,            0.006106,            0.006106
                 120,            0.046105,            0.015055,            0.018021,             0.36945,            0.083508,            0.070919,             0.04415,            0.065499,            0.016341,            0.089844,            0.006073,            0.006073,            0.006073
                 121,            0.045284,            0.014672,             0.01827,             0.44298,            0.074937,            0.068972,            0.043926,            0.065047,            0.016279,            0.090747,             0.00604,             0.00604,             0.00604
                 122,             0.04566,            0.015247,             0.01755,             0.25712,             0.13033,            0.064177,            0.037566,            0.065684,            0.016575,            0.089673,            0.006007,            0.006007,            0.006007
                 123,            0.045347,            0.014743,            0.019077,             0.38986,            0.083537,            0.063433,            0.039698,            0.064591,            0.016383,            0.091756,            0.005974,            0.005974,            0.005974
                 124,            0.045544,            0.015153,            0.018234,              0.4103,             0.07473,            0.059728,            0.036927,            0.065107,            0.016389,            0.088908,            0.005941,            0.005941,            0.005941
                 125,            0.044875,             0.01452,            0.018968,             0.27713,            0.099313,            0.055053,            0.034173,            0.064725,            0.016225,            0.092064,            0.005908,            0.005908,            0.005908
                 126,            0.045884,            0.014718,            0.018904,             0.29791,             0.10148,            0.072208,            0.043716,             0.06487,            0.016565,            0.092107,            0.005875,            0.005875,            0.005875
                 127,            0.045872,            0.014954,            0.018133,             0.36003,             0.13169,            0.090227,            0.048296,             0.06464,            0.016332,            0.089831,            0.005842,            0.005842,            0.005842
                 128,            0.043964,            0.014696,            0.018139,             0.41711,             0.08915,            0.095178,            0.060612,             0.06517,            0.016832,            0.087887,            0.005809,            0.005809,            0.005809
                 129,            0.045318,            0.014704,            0.017246,             0.24956,                0.13,            0.069858,            0.039189,            0.064998,            0.016345,            0.090093,            0.005776,            0.005776,            0.005776
                 130,            0.045062,            0.014237,            0.017681,             0.37794,             0.10551,            0.074468,            0.046375,            0.065016,            0.016447,            0.089417,            0.005743,            0.005743,            0.005743
                 131,            0.044727,            0.014517,            0.018064,             0.36078,            0.081197,            0.071095,            0.044561,             0.06515,            0.016293,            0.090288,             0.00571,             0.00571,             0.00571
                 132,            0.044681,            0.014768,            0.017248,             0.38699,             0.06662,            0.064185,            0.037107,            0.065077,            0.016627,            0.090775,            0.005677,            0.005677,            0.005677
                 133,             0.04536,            0.014912,             0.01721,             0.31035,             0.10628,            0.066997,            0.041822,            0.064755,            0.016331,            0.090741,            0.005644,            0.005644,            0.005644
                 134,            0.044246,            0.014813,            0.017173,             0.41497,            0.065625,            0.064034,            0.040448,            0.065373,            0.016459,            0.089994,            0.005611,            0.005611,            0.005611
                 135,            0.045441,              0.0148,            0.017426,             0.36628,             0.13949,            0.081649,            0.049111,            0.065286,            0.016563,            0.090046,            0.005578,            0.005578,            0.005578
                 136,            0.045078,            0.014271,            0.015794,             0.47216,            0.086286,            0.077223,            0.038877,            0.064872,            0.016273,            0.092087,            0.005545,            0.005545,            0.005545
                 137,            0.045381,             0.01502,            0.016607,             0.30243,             0.12055,            0.077068,            0.041031,            0.064473,            0.016384,            0.090813,            0.005512,            0.005512,            0.005512
                 138,            0.045059,            0.014624,            0.016352,             0.39185,            0.095551,             0.07328,            0.045826,            0.064406,            0.016986,            0.090454,            0.005479,            0.005479,            0.005479
                 139,            0.044267,            0.014327,            0.016632,             0.36036,             0.11215,            0.091125,            0.053045,            0.064756,            0.016278,            0.090919,            0.005446,            0.005446,            0.005446
                 140,            0.044683,            0.014551,            0.016786,             0.35705,              0.1139,            0.082791,             0.05171,            0.064513,            0.016423,            0.089909,            0.005413,            0.005413,            0.005413
                 141,             0.04537,            0.014582,            0.015989,             0.34522,             0.10275,            0.069248,            0.042621,            0.064732,            0.016591,            0.090138,             0.00538,             0.00538,             0.00538
                 142,             0.04417,            0.014568,             0.01662,             0.40369,             0.11543,            0.099657,            0.063301,            0.064886,            0.016549,            0.088125,            0.005347,            0.005347,            0.005347
                 143,            0.045038,            0.014933,            0.015614,             0.40254,             0.11389,             0.11175,              0.0685,            0.064825,            0.016844,            0.090246,            0.005314,            0.005314,            0.005314
                 144,            0.044778,            0.014762,            0.016425,             0.29154,             0.12648,            0.076557,            0.046458,            0.065608,            0.016913,             0.08976,            0.005281,            0.005281,            0.005281
                 145,            0.044409,            0.015102,            0.015402,             0.34982,             0.11287,            0.080433,            0.052756,            0.064686,            0.016444,             0.08943,            0.005248,            0.005248,            0.005248
                 146,            0.045047,            0.014913,            0.016849,             0.34315,             0.14511,            0.097024,            0.054825,            0.064654,            0.016844,            0.088758,            0.005215,            0.005215,            0.005215
                 147,            0.044574,            0.013984,            0.015555,             0.37867,             0.11351,             0.11057,            0.065973,             0.06411,            0.016772,            0.089621,            0.005182,            0.005182,            0.005182
                 148,            0.044272,            0.014679,            0.015212,             0.49978,            0.090043,            0.091183,            0.061245,            0.064501,            0.016805,            0.090668,            0.005149,            0.005149,            0.005149
                 149,            0.043102,            0.013638,            0.015891,             0.39182,             0.10217,            0.086255,            0.051537,            0.065204,            0.016824,            0.089985,            0.005116,            0.005116,            0.005116
                 150,            0.043634,            0.013922,            0.016038,             0.25921,             0.14019,            0.087432,            0.049362,            0.064613,             0.01682,            0.090157,            0.005083,            0.005083,            0.005083
                 151,            0.042569,            0.014219,            0.015728,             0.35314,             0.11033,            0.094395,            0.056212,            0.065331,             0.01737,            0.089909,             0.00505,             0.00505,             0.00505
                 152,            0.043417,            0.014086,            0.015197,             0.53722,            0.093149,             0.10714,            0.060162,            0.065008,            0.016986,            0.089576,            0.005017,            0.005017,            0.005017
                 153,            0.042674,            0.014104,            0.015174,             0.41316,             0.10129,             0.10175,            0.068168,            0.064307,            0.016975,            0.091665,            0.004984,            0.004984,            0.004984
                 154,            0.044163,             0.01473,            0.014968,             0.47967,            0.092621,             0.10522,            0.070259,            0.064386,            0.016901,            0.091443,            0.004951,            0.004951,            0.004951
                 155,            0.042365,            0.014481,            0.014612,              0.4279,             0.10204,             0.11372,            0.067641,            0.064772,            0.017103,            0.090144,            0.004918,            0.004918,            0.004918
                 156,            0.042694,            0.013878,            0.014776,             0.31314,             0.10469,             0.10512,            0.065112,            0.064404,            0.016701,            0.089246,            0.004885,            0.004885,            0.004885
                 157,            0.043181,            0.014932,            0.015677,             0.26077,             0.13212,            0.092001,            0.057115,             0.06469,            0.016962,            0.089938,            0.004852,            0.004852,            0.004852
